srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2851218,AN,7,500004,233,233,131,A,ADLD,500001,2017-04-27,2016-12-02,2018-02-08,4403,2018-02-13,5
2838330,AJ,10,226010,233,233,131,A,ADLD,226022,2017-03-06,2017-03-05,2018-02-04,4444,2018-02-08,12
2835781,AJ,2,110018,233,233,228,A,ADLD,110018,2018-02-01,2018-01-27,2018-02-03,4388,2018-02-12,9
2838589,AM,2,110018,233,233,228,B,ADLD,124001,2018-01-17,2018-01-31,2018-02-04,4092,2018-02-14,9
2855214,AN,21,110015,233,233,131,A,ADLD,201301,2018-01-23,2018-01-20,2018-02-09,4580,2018-02-14,8
2852784,AN,21,110015,233,233,131,B,ADLD,132001,2017-12-22,2017-12-17,2018-02-08,4580,2018-02-15,9
2844713,C,2,110018,233,233,131,A,ADLD,110059,2017-08-26,2017-08-22,2018-02-06,4094,2018-02-09,15
2829719,C,6,160059,233,233,131,B,ADLD,151001,2017-03-14,2017-03-13,2018-02-01,4549,2018-02-10,16
2833619,AN,3,560011,201,233,131,A,ADLD,560076,2017-07-23,2017-07-22,2018-02-03,4467,2018-02-08,17
2870579,AJ,5,380009,233,233,131,B,ADLD,390006,2017-06-01,2017-05-31,2018-02-14,4422,2018-02-20,11
2851462,AN,3,560011,233,233,131,B,ADLD,586101,2017-07-12,2017-06-13,2018-02-08,4467,2018-02-13,19
2864593,AN,22,400104,233,233,131,B,ADLD,360001,2017-01-28,2015-07-25,2018-02-12,4581,2018-02-22,20
2902016,C,2,110018,233,233,131,A,ADLD,110025,2017-10-29,2017-10-13,2018-02-23,4091,2018-02-26,14
2891631,AI,8,700064,233,233,131,A,ADLD,700039,2017-12-29,2017-12-29,2018-02-20,4499,2018-02-22,18
2926054,AD,4,600024,233,233,131,A,ADLD,600097,2018-01-06,2016-12-29,2018-02-28,4488,2018-03-03,13
2899949,S,2,110018,308,233,228,A,ADLD,122003,2018-01-25,2018-01-24,2018-02-23,4150,2018-02-28,17
